CRD#,SEC#,Primary Business Name,Legal Name,Main Office Address 1,Main Office Address 2,Main City,Main State,Main Zip,Main Phone,Main Fax,Web Site,Registration Status,Registration Status Effective Date
126563,,"SUMMIT PLANNING GROUP, LLC","SUMMIT PLANNING GROUP, LLC",420 EAST MAIN STREET,"BUILDING 1, UNIT 11",BRANFORD,CT,6405,203-483-3313,203-483-2617,,Approved,8/24/95
152489,,"STRATEGIC ALLIANCE SECURITY ADVISORS, LLC","STRATEGIC ALLIANCE SECURITY ADVISORS, LLC",244 FAIRFIELD AVENUE,,BRIDGEPORT,CT,6604,203-240-6509,203-702-2999,,Approved,5/17/11
153279,,M.J. REED INVESTMENT CONSULTING,"M.J. REED INVESTMENT CONSULTING, LLC",410  NORTHRUP ST,,BRIDGEWATER,CT,06752-1630,860-799-7319,860-799-7319,WWW.MJREEDINVESTMENT.COM,Approved,5/19/10
146120,,"NYE INVESTMENT ADVISORS, LLC","NYE INVESTMENT ADVISORS, LLC",273 CENTRAL ST,,BRISTOL,CT,6010,860-589-3300,860-589-4723,,Approved,2/11/08
144057,,"YOUR CHOICE FINANCIAL, LLC","YOUR CHOICE FINANCIAL, LLC",94 WOODHAVEN ROAD,,BRISTOL,CT,6010,860-601-5984,860-261-7263,YOURCHOICEFINANCIAL.COM,Approved,2/11/11
141182,,RICHARD MERCADO CFP CPA,RICHARD MERCADO CFP CPA,640 FEDERAL ROAD,,BROOKFIELD,CT,6804,203-775-6254,203-775-1717,,Approved,10/10/06
132319,,"BRENNEMAN INVESTMENT ADVISER, LLC","BRENNEMAN INVESTMENT ADVISER, LLC",50 DEEP RIVER RD,,CENTERBROOK,CT,6409,860-510-3012,866-652-3684,,Approved,10/1/04
27823,801-29853,"CHARTER OAK ASSET MANAGEMENT, INC.","CHARTER OAK ASSET MANAGEMENT, INC.",1520 HIGHLAND AVE,,CHESHIRE,CT,06410-1276,203-272-3597 X1,203-272-2920,,Approved,6/23/09
111791,,PRODEO FINANCIAL SERVICES,DAVID HAJDASZ,11 SHIRE COURT,,CHESHIRE,CT,06410-3556,203-439-0354,484-492-5792,HTTP://MEMBERS.COX.NET/PRODEO.FINANCIAL/SERVICES/,Approved,12/10/01
154862,,SPRINGBOARD ASSET MANAGEMENT LLC,SPRINGBOARD ASSET MANAGEMENT LLC,49 WALLINGFORD ROAD,,CHESHIRE,CT,6410,203-651-7110,203-651-7110,HTTP://WWW.SPRINGBOARDASSET.COM,Approved,9/17/10
154646,,"JGS WEALTH MANAGEMENT, LLC","JGS WEALTH MANAGEMENT, LLC",79A NORWICH AVE.,,COLCHESTER,CT,6415,860-537-9922,860-537-9922,,Approved,1/20/11
126283,,THE THEFTFORD MANAGEMENT COMPANY,THE THETFORD MANAGEMENT COMPANY,"C/O CORDS, 61 PHELPS RD",61 PHELPS ROAD,COLEBROOK,CT,6021,860-379-5854,860-379-5854,,Approved,5/20/93
133896,,"JERVIS ALTERNATIVE ASSET MANAGEMENT CO. (JAAMCO), LP","JERVIS ALTERNATIVE ASSET MANAGEMENT CO. (JAAMCO), LP",59 CAT ROCK ROAD,,COS COB,CT,6807,203.861.1900,203.861.1901,WWW.JAAMCO.COM,Approved,4/7/10
125264,,ROGER L. SHARP & ASSOCIATES,ROGER L. SHARP & ASSOCIATES,208 VALLEY ROAD,,COS COB,CT,06807-2214,203-862-8900,866-661-2938,WWW.ROGERLSHARP.COM,Approved,6/15/95
149954,,WILLOWFIELD VENTURES LLC,WILLOWFIELD VENTURES LLC,7 CLOVER PLACE,,COS COB,CT,6807,203-861-6749,203-661-8055,,Approved,7/15/09
126260,,"CAPITAL PLANNING CONSULTANTS, LLC","CAPITAL PLANNING CONSULTANTS, LLC",110 COURT STREET,SUITE #6,CROMWELL,CT,6416,860-635-2671,860-635-0533,WWW.CPCLLC.NET,Approved,4/6/83
129744,,"DENNIS GLYNN, CPA","GLYNN, DENNIS CHARLES",17 SHUNPIKE ROAD,,CROMWELL,CT,6416,860-635-1040,860-635-6601,,Approved,12/18/97
111634,,"AC FINANCIAL ADVISORY GROUP, LLC",AC FINANCIAL ADVISORY GROUP LLC,39 OLD RIDGEBURY RD. D-1 SUITE 4,,DANBURY,CT,6810,203-778-1891,203-702-5015,,Approved,7/12/93
143605,,"ARCONTI FINANCIAL ADVISORS, LLC","ARCONTI FINANCIAL ADVISORS, LLC","152 DEER HILL AVENUE, SUITE 102",,DANBURY,CT,6810,203-778-4100,,WWW.ARCONTIFINANCIALADVISORS.COM,Approved,5/10/07
127983,,ARMSTRONG FINANCIAL STRATEGIES,"ARMSTRONG, MORRIS",57 NORTH STREET,SUITE 105,DANBURY,CT,6810,203-744-9297,,WWW.ARMSTRONG-FINANCIAL.COM,Approved,1/19/01
126033,,MITTLER & MERCALDO INVESTMENT ADVISORS,MITTLER & MERCALDO INVESTMENT ADVISORS,42 MAIN STREET,,DANBURY,CT,6810,203-792-3190,203-743-2502,,Approved,3/2/04
127205,,"THE HANSBURY GROUP, LLC","THE HANSBURY GROUP, LLC",6 HUNTINGTON DRIVE,,DANBURY,CT,6811,203-746-9633,203-746-3971,,Approved,11/25/03
126955,,WESTCOTT INVESTMENT ADVISORS LLC,WESTCOTT INVESTMENT ADVISORS LLC,90 WESTCOTT ROAD,,DANIELSON,CT,06239-0296,860-774-4009,860-774-5106,,Approved,3/21/01
127583,,"BEACON CAPITAL, LLC","BEACON CAPITAL, LLC",3 PARKLANDS DRIVE,SUITE 201,DARIEN,CT,6820,203-662-3415,203-662-3425,,Approved,4/22/99
142229,,CARTBRIDGE CAPITAL LLC,CARTBRIDGE CAPITAL LLC,54 CHRISTIE HILL RD,,DARIEN,CT,6820,203 989 0535,203 989 0355,,Approved,1/5/07
125395,,"CAVANNA CAPITAL MANAGEMENT, LLC","CAVANNA CAPITAL MANAGEMENT, LLC","777 POST ROAD, 2ND FLOOR",,DARIEN,CT,6820,203-280-1167,203-662-1100,,Approved,4/8/03
150836,,"DFS CAPITAL MANAGEMENT, LP","DFS CAPITAL MANAGEMENT, LP",50 OLD KINGS HIGHWAY NORTH,,DARIEN,CT,6820,203-656-4493,203-656-4494,,Approved,8/6/09
128533,,"GLOBALVIEW CAPITAL, LLC","GLOBALVIEW CAPITAL, LLC",38 INTERVALE ROAD,,DARIEN,CT,6820,888-675-2560,888-675-2560,GLOBALVIEWCAPITAL.COM,Approved,11/20/03
153333,,"ILLUME CAPITAL MANAGEMENT, LLC","ILLUME CAPITAL MANAGEMENT, LLC",9 OLD KINGS HIGHWAY SOUTH,SUITE 300,DARIEN,CT,6820,917-843-9494,,WWW.ILLUMECAPITAL.COM,Approved,3/30/10
132744,,"MAKENNA & COMPANY, INC.","MAKENNA & COMPANY, INC.",30 OLD KINGS HIGHWAY SOUTH,SUITE 214,DARIEN,CT,6820,203-202-2117,203-202-1600,,Approved,10/29/04
127531,,"QUALMAN, GENE","QUALMAN, GENE ALEXANDER","10 CORBIN DRIVE, SUITE 3C",,DARIEN,CT,6820,203-655-6727,203-655-8470,,Approved,9/3/92
152345,,STEVENS ASSET MANAGEMENT LLC,STEVENS ASSET MANAGEMENT LLC,1063 POST ROAD,2ND FLOOR,DARIEN,CT,6820,203 202-8715,203 662-8060,WWW.STEVENSASSET.COM,Approved,1/4/10
150787,,TALSON CAPITAL MANAGEMENT LLC,TALSON CAPITAL MANAGEMENT LLC,9 OLD KINGS HIGHWAY SOUTH,,DARIEN,CT,6820,203-202-7500,203-202-7501,,Approved,8/4/09
145161,,VAN RENSSELAER MANAGEMENT LLC,VAN RENSSELAER MANAGEMENT LLC,15 STONEWALL LANE,,DARIEN,CT,06820-2617,203-984-0659,203-656-0385,WWW.VANRMGMT.COM,Approved,10/15/07
128263,,MIDDLESEX TAX & ACCOUNTING SVC.,"CAMASSAR,JASON HARRY",5 OLD WALLINGFORD ROAD,,DURHAM,CT,6422,860-349-8308,860-349-8308,,Approved,11/7/95
132635,,CHAPEL STREET ADVISORS LLC,CHAPEL STREET ADVISORS LLC,39 COLD SPRING ROAD,,EAST HADDAM,CT,6423,860-873-8115,,WWW.CHAPELSTREETADVISORS.COM,Approved,1/3/05
126177,,"RICHARD A. NORKUN & ASSOCIATES, LLC","RICHARD A. NORKUN & ASSOCIATES, LLC",4 SEARS PLACE,,EAST HAMPTON,CT,6424,860-267-7710,860-267-1782,WWW.RANORKUN.COM,Approved,6/1/92
120921,,"FINANCIAL VISION ADVISORY SERVICES, LLC","FINANCIAL VISION ADVISORY SERVICES, LLC",111 FOUNDERS PLAZA,SUITE 1202,EAST HARTFORD,CT,6108,860-761-0360,860-761-0370,,Approved,4/8/03
150511,801-70263,"SUMMIT COUNSEL, LLC","SUMMIT COUNSEL, LLC",111 FOUNDERS PLAZA,SUITE 1801,EAST HARTFORD,CT,6108,860-282-8290,860-282-8293,,Approved,2/8/10
136862,,"SUMMIT WEALTH MANAGEMENT, LLC","SUMMIT WEALTH MANAGEMENT, LLC",333 EAST RIVER DRIVE,SUITE 410,EAST HARTFORD,CT,6108,860-282-8292,860-282-8289,,Approved,5/3/06
139677,,FIRST HAVEN ASSET MANAGEMENT LLC,FIRST HAVEN ASSET MANAGEMENT LLC,411 MANSFIELD GROVE ROAD,,EAST HAVEN,CT,6512,203-466-2116,203-432-9512,WWW.FIRSTHAVEN.COM,Approved,8/8/06
125203,,"SUSAN F. SHARIN, L.L.C.","SUSAN F. SHARIN, L.L.C.",108 COUNTY ROAD,,EASTFORD,CT,06242-0237,860-974-3573,CALL FIRST,,Approved,7/26/96
125491,,"FLAT ROCK THREE, LLC","FLAT ROCK THREE, LLC",57 TUCKAHOE ROAD,,EASTON,CT,06612-2053,203-452-8858,203-286-2431,,Approved,2/4/04
129693,801-62588,GREEN PASTURES WEALTH MANAGEMENT LLC,GREEN PASTURES WEALTH MANAGEMENT LLC,145 EDEN HILL ROAD,,EASTON,CT,6612,203-452-8100,203-459-9809,WWW.GREENPASTURESWM.COM,Approved,11/16/04
127645,,MIGHTY OAK MANAGEMENT LLC,MIGHTY OAK MANAGEMENT LLC,849 BLACK ROCK TURNPIKE,,EASTON,CT,6612,203-964-9300,203-964-1357,,Approved,6/11/03
137565,,"PARENTEAU ASSOCIATES, LLC","PARENTEAU ASSOCIATES, LLC",50 FIELDSTONE DRIVE,,EASTON,CT,6612,203-220-9153,203-220-9032,WWW.PARENTEAUASSOCIATES.COM,Approved,12/1/05
127928,,PINNACLE ASSET MANAGEMENT,PINNACLE ASSET MANAGEMENT,81 GATE RIDGE ROAD,,EASTON,CT,6612,203-373-1791,203-373-1791,,Approved,7/18/96
111892,,"SOUND PLANNING AND INVESTMENTS, LLC","SOUND PLANNING AND INVESTMENTS, LLC",13 MACK LANE,,ESSEX,CT,6426,860-767-0375,860-767-7623,,Approved,4/20/93
113628,,"ADVANCED CAPITAL ADVISORS, LLC","ADVANCED CAPITAL ADVISORS, LLC",140 SHERMAN STREET 2ND FLOOR,,FAIRFIELD,CT,6824,203-255-0504,203-255-8958,,Approved,7/24/00
132612,801-71599,"CARRINGTON STRATEGIC ADVISORS, LLC","CARRINGTON STRATEGIC ADVISORS, LLC",1238 POST ROAD,,FAIRFIELD,CT,6824,203-254-7975,314-271-7462,WWW.CARRINGTONSTRATEGICADVISORS.COM,Approved,8/18/05
125585,,CITADEL CAPITAL MANAGEMENT,"BERNHEIM, GUY F.",255 HILLSIDE RD,,FAIRFIELD,CT,06824-2109,203-254-8353,203-254-0464,,Approved,10/28/96
127744,,CONNECTICUT CAMBRIDGE ADVISORS,"BERNSTEIN, DAVID S",515 FAIRFIELD BEACH RD,,FAIRFIELD,CT,6824,203-255-6757,203-255-6975,,Approved,11/15/94
148909,,CULPEPPER GROUP LLC,CULPEPPER GROUP LLC,2272 REDDING ROAD,,FAIRFIELD,CT,6824,203-292-5434,203-292-5434,,Approved,2/3/09
142965,,"DMR INVESTMENT ADVISERS, LLC","DMR INVESTMENT ADVISERS, LLC",658 HOYDEN HILL ROAD,,FAIRFIELD,CT,6824,203-209-6982,203-367-8392,,Approved,11/3/10
134798,,"FAILSAFE CAPITAL, LLC","FAILSAFE CAPITAL, LLC",4360 CONGRESS ST,,FAIRFIELD,CT,6824,203-256-5791,203-295-3527,WWW.FAILSAFECAPITAL.COM,Approved,8/13/09
108414,801-32073,FAIRPORT ASSET MANAGEMENT CORP,FAIRPORT ASSET MANAGEMENT CORP,1515 BLACK ROCK TURNPIKE,SUITE 102,FAIRFIELD,CT,6825,203-335-0344,203-335-0341,WWW.FAIRPORTSERVICES.COM,Approved,9/19/00
150388,,"FINANCIAL PLANNING MATTERS, LLC","FINANCIAL PLANNING MATTERS, LLC",21 ROUND HILL DR,,FAIRFIELD,CT,6824,203-727-4289,,WWW.FINANCIALPLANNINGMTRS.COM,Approved,8/25/09
151412,,GABEL ASSET MANAGEMENT CORP.,GABEL ASSET MANAGEMENT CORP.,140 SHERWOOD FARM ROAD,,FAIRFIELD,CT,6824,203-256-1014,,,Approved,9/24/09
134510,,"HERBERT J. SIMS CAPITAL MANAGEMENT, INC.","HERBERT J. SIMS CAPITAL MANAGEMENT, INC.",2150 POST ROAD,,FAIRFIELD,CT,6824,203-418-9000,203-418-9031,WWW.SIMSBONDS.COM,Approved,8/10/05
126713,,"MACMONAGLE ASSOCIATES, INC.","MACMONAGLE ASSOCIATES, INC.",3931 CONGRESS STREET,,FAIRFIELD,CT,6824,203-259-8738,203-259-7437,,Approved,1/2/92
112873,,MONECO,"MONEY CONSULTANTS, INC",2150 POST ROAD,SOUTHPORT PLACE,FAIRFIELD,CT,6824,203-319-3550,203-319-3554,WWW.MONEYCONSULTANTSINC.COM,Approved,9/24/03
126179,,"NUTMEG ADVISORS, LLC","NUTMEG ADVISORS, LLC",533 NORTH BENSON ROAD,,FAIRFIELD,CT,6824,203-259-2935,203-259-3526,,Approved,5/31/01
141388,,OCEAN CROSS WEALTH MANAGEMENT LLC,OCEAN CROSS WEALTH MANAGEMENT LLC,80 MOUNTAIN LAUREL ROAD,,FAIRFIELD,CT,06824-2423,(203) 259-9956,203-659-1690,,Approved,10/2/06
150596,,"ROBIN PINKHAM INVESTMENT ADVISORY, LLC","ROBIN PINKHAM INVESTMENT ADVISORY, LLC",108 CHATHAM RD,,FAIRFIELD,CT,6825,203-372-6266,203-372-6266,,Approved,8/19/09
142021,,"SOUTHPORT WEALTH MANAGEMENT, LLC","SOUTHPORT WEALTH MANAGEMENT, LLC",208 NORTH CEDAR ROAD,,FAIRFIELD,CT,6824,203-254-7800,203-254-7805,WWW.SOUTHPORTWEALTHMANAGEMENT.COM,Approved,12/5/06
136271,,ANTHEM ASSET MANAGEMENT,"ANTHEM ASSET MANAGEMENT, LLC",790 FARMINGTON AVE,STE 4A,FARMINGTON,CT,6032,860-409-0808,,,Approved,5/12/06
151285,,"CALIBER INVESTMENT GROUP, LLC","CALIBER INVESTMENT GROUP, LLC",321 MAIN STREET,,FARMINGTON,CT,6032,(860) 678-4424,(860) 676-1771,WWW.CALIBERINVESTMENTGROUP.COM,Approved,9/18/09
154310,,"CONNECTICUT WEALTH MANAGEMENT, LLC","CONNECTICUT WEALTH MANAGEMENT, LLC",30 WATERSIDE DRIVE,SUITE 100,FARMINGTON,CT,6032,860-470-0290,860-470-0289,WWW.CTWEALTHMGMT.COM,Approved,10/20/10
126472,,"DHAS FINANCIAL PLANNING, LLC","DHAS FINANCIAL PLANNING, LLC",6 EXECUTIVE DRIVE,STE 111,FARMINGTON,CT,6032,860-255-0133,860-676-8571,WWW.DHASCPA.COM,Approved,3/19/01
125836,,"GILBERT & TIMME, LLC","GILBERT & TIMME, LLC",30 WATERSIDE DRIVE,,FARMINGTON,CT,06032-3089,860-676-9975,860-677-4861,,Approved,10/15/98
127175,,"HAVILAND & SAMS, LLC","HAVILAND & SAMS, LLC",30 STANFORD DRIVE,,FARMINGTON,CT,6032,860-678-1414,860-678-1616,WWW.THEHAVILANDGROUP.COM,Approved,7/1/03
127215,,"HORIZON FINANCIAL ADVISORS, LLC","HORIZON FINANCIAL ADVISORS, LLC",2 BATTERSON PARK RD,,FARMINGTON,CT,6032,860-677-6972,860-677-8054,WWW.KPCO-CPA.COM,Approved,3/30/99
108734,,"KOV FINANCIAL ADVISORS, LLC","KOV FINANCIAL ADVISORS, LLC",20 WATERSIDE DRIVE,,FARMINGTON,CT,6032,860-678-5160,860-678-5170,,Approved,1/12/98
127644,,"KR WEALTH MANAGEMENT, LLC","KR WEALTH MANAGEMENT, LLC",76 BATTERSON PARK ROAD,,FARMINGTON,CT,6032,860-678-6200,860-678-6120,WWW.KRWEALTH.COM,Approved,6/6/01
156182,,"MAIORINI, ALEX","MAIORINI, ALEX",318 MEADOW ROAD,,FARMINGTON,CT,6032,860-677-8444,860-674-8379,,Approved,3/8/11
156064,,"MEDALLION WEALTH ADVISORS, LLC","MEDALLION WEALTH ADVISORS, LLC",2 BRIDGEWATER ROAD,SUITE 104,FARMINGTON,CT,6032,860-967-3032,860-255-7774,WWW.MEDALLIONWEALTH.COM,Approved,1/31/11
128355,,"MORSE INVESTMENT MANAGEMENT COMPANY, INC.","MORSE INVESTMENT MANAGEMENT COMPANY, INC.",321 MAIN STREET,,FARMINGTON,CT,6032,860-678-4463,860-676-1771,,Approved,6/3/91
146828,,"ROBERT M. FINCH CONSULTING, LLC","ROBERT M. FINCH CONSULTING, LLC",10 METACOMET RD,,FARMINGTON,CT,06032-1801,860-676-9629,860-676-9629,,Approved,4/17/08
125765,,"WEALTH MANAGEMENT GROUP OF NORTH AMERICA, LLC","WEALTH MANAGEMENT GROUP OF NORTH AMERICA, LLC",231 FARMINGTON,,FARMINGTON,CT,6032,860-679-5255,866-825-6960,WWW.MYRESTYLEMENT.COM,Approved,2/23/96
149681,,BRIDGE CAPITAL MANAGEMENT LLC,BRIDGE CAPITAL MANAGEMENT LLC,124 HEBRON AVENUE,FLOOR 2,GLASTONBURY,CT,6033,860-781-6700,860-781-7660,,Approved,8/26/09
149539,,"CHIECO CAPITAL MANAGEMENT, LLC","CHIECO CAPITAL MANAGEMENT, LLC",33 BLUE HILLS TRAIL,,GLASTONBURY,CT,6033,860-657-9010,860-652-4483,WWW.CHIECOCAPITAL.COM,Approved,9/21/09
127288,,"GLASTONBURY CPA'S FINANCIAL ADVISORS, LLC","GLASTONBURY CPA'S FINANCIAL ADVISORS, LLC",111 NEW LONDON TURNPIKE,,GLASTONBURY,CT,6033,860-659-0357,860-657-9516,,Approved,1/3/01
137718,,"LUCEY INVESTMENT MANAGEMENT, LLC","LUCEY INVESTMENT MANAGEMENT, LLC",123 FELDSPAR RIDGE,,GLASTONBURY,CT,6033,860-633-4490,860-633-4633,,Approved,11/8/07
142534,,QVM GROUP LLC,QVM GROUP LLC,18 SOUTH MILL DRIVE,,GLASTONBURY,CT,6073,860-633-1760,NONE,WWW.QVMGROUP.COM,Approved,1/16/07
130690,,ROCKINGHAM CAPITAL ADVISORS LLC,ROCKINGHAM CAPITAL ADVISORS LLC,141 FOUNDERS RD,,GLASTONBURY,CT,6033,860-633-0676,860-659-1742,,Approved,4/26/04
136240,,"SOMERSET WEALTH STRATEGIES, LLC","SOMERSET WEALTH STRATEGIES, LLC",180 GLASTONBURY BOLULEVARD,,GLASTONBURY,CT,6033,860-657-1882,860-657-1884,,Approved,9/26/05
123629,,LONGVUE CAPITAL MANAGEMENT,LONGVUE CAPITAL MANAGEMENT LLC,6 HAYFIELD LANE,,GRANBY,CT,06035-2923,860-653-4626,,,Approved,1/2/03
155600,,"ANCHORPATH FINANCIAL, LLC","ANCHORPATH FINANCIAL, LLC",500 WEST PUTNAM AVENUE,SUITE 400,GREENWICH,CT,6830,203-893-3600,,WWW.ANCHORPATH.COM,Approved,12/15/10
138883,,"ARMILLARY PARTNERS, LLC","ARMILLARY PARTNERS, LLC",12 DEWART ROAD,,GREENWICH,CT,6830,203-629-9365,203-625-0583,,Approved,5/22/06
146363,,"BCP ADVISORS, LLC","BCP ADVISORS, LLC",289 GREENWICH AVENUE,FOURTH FLOOR,GREENWICH,CT,6830,203-629-2181,203-629-2188,,Approved,4/9/08
156809,,CAIRN CAPITAL NORTH AMERICA INC.,CAIRN CAPITAL NORTH AMERICA INC.,500 WEST PUTNAM AVE,SUITE 400,GREENWICH,CT,6830,203-542-7250,516-746-3560,WWW.CAIRNCAPITAL.COM,Approved,5/24/11
150369,,COMMONWEALTH ASSET MANAGEMENT LLC,COMMONWEALTH ASSET MANAGEMENT LLC,140 GREENWICH AVENUE,4TH FLOOR,GREENWICH,CT,6830,203-622-1150,203-340-2591,WWW.COMMONWEALTH-MP.COM,Approved,7/21/09
109734,,D/B/A STRATEGIC PORTFOLIO MANAGEMENT,WICKFORD CORP.,268 ROUND HILL RD.,,GREENWICH,CT,6831,203-629-3445,203-629-2175,,Approved,3/10/95
148762,,EFS MANAGEMENT,EFS MANAGEMENT,23 DAVENPORT AVENUE,,GREENWICH,CT,6830,203-524-3258,203-517-9293,WWW.2110W.COM,Approved,5/20/09
149092,,FOX RUN MANAGEMENT LLC,FOX RUN MANAGEMENT LLC,500 WEST PUTNAM AVENUE,SUITE 400,GREENWICH,CT,6830,203-629-1729,203-629-0445,,Approved,6/12/09
143872,801-67870,"GLENVILLE CAPITAL MANAGEMENT, LLC","GLENVILLE CAPITAL MANAGEMENT, LLC",263 GLENVILLE RD,,GREENWICH,CT,6831,203-542-7608,203-531-0666,WWW.GLENVILLECAPITALMANAGEMENT.COM,Approved,10/23/07
126531,,GREENRIDGE CAPITAL ADVISORS LLC,GREENRIDGE CAPITAL ADVISORS LLC,2 BENEDICT PLACE,SUITE 102,GREENWICH,CT,6830,203 862 8605,203 862 8608,GREENRIDGECAPITALADVISORSLLC.COM,Approved,3/22/00
157561,,GREENWICH PRIVATE WEALTH LLC,GREENWICH PRIVATE WEALTH LLC,500 W. PUTNAM AVENUE,SUITE 400,GREENWICH,CT,6830,203-987-8555,203-542-7701,,Approved,5/26/11
146038,,KENILWORTH CAPITAL PARTNERS LLC,KENILWORTH CAPITAL PARTNERS LLC,17 KENILWORTH TERRACE,,GREENWICH,CT,6830,(203) 536-8263,(203) 869-4758,,Approved,2/4/08
